Make,Transmission,Engine Type,Engine Capacity(CC),Mileage(kms),Year,Price,Model
Honda,Automatic,Petrol,1500.0,41371,2017,3150000,BR-V 
Toyota,Automatic,Petrol,1000.0,67000,2014,1955000,Vitz 
Daihatsu,Automatic,Petrol,660.0,64000,2013,1450000,Move 
Toyota,Automatic,Petrol,2700.0,64000,2016,19000000,Prado 
Range,Automatic,Petrol,4200.0,140000,2009,8000000,Rover Sport
Toyota,Automatic,Petrol,1000.0,23000,2019,2650000,Passo 
Suzuki,Manual,CNG,1000.0,87000,2006,750000,Alto 
Mercedes,Automatic,Petrol,2600.0,168000,2005,3100000,Benz E
Honda,Automatic,Petrol,1800.0,83000,2018,3650000,Civic 
Honda,Automatic,Petrol,1500.0,41000,2018,3100000,BR-V 
Suzuki,Manual,Petrol,800.0,56000,2016,798000,Mehran 
Toyota,Automatic,Petrol,1800.0,43000,2017,3500000,Corolla 
Suzuki,Manual,Petrol,1400.0,94000,2017,2080000,Ciaz 
Toyota,Manual,Petrol,1300.0,200000,2007,1200000,Corolla 9th
Toyota,Manual,Petrol,1300.0,50000,2019,3250000,Corolla 
Toyota,Automatic,Petrol,1000.0,133000,1999,1175000,Vitz 
Toyota,Manual,Petrol,1300.0,111561,2013,1600000,Corolla 
Daihatsu,Automatic,Petrol,660.0,140000,2006,1050000,Mira 
Toyota,Automatic,Petrol,1800.0,25000,2017,3550000,Corolla 
Honda,Automatic,Petrol,1800.0,96000,2007,1700000,Civic Reborn
Toyota,Automatic,Petrol,4600.0,68000,2016,27500000,Land Cruiser
Toyota,Manual,Petrol,1300.0,135000,2011,1700000,Corolla 
BMW,Manual,Petrol,2000.0,90000,2001,2550000,3 Series
Suzuki,Manual,Petrol,1000.0,135000,2007,869999,Alto 
Suzuki,Manual,Petrol,1000.0,143500,2008,830000,Alto 
Daihatsu,Automatic,Petrol,660.0,120000,2008,1050000,Atrai Wagon
Honda,Automatic,Petrol,1800.0,27500,2017,3595000,Civic 
Toyota,Automatic,Petrol,1600.0,15000,2021,3680000,Corolla 
Suzuki,Manual,Petrol,1000.0,150000,2007,620000,Cultus 
Suzuki,Manual,Petrol,1000.0,115000,2011,910000,Alto 
Toyota,Manual,Petrol,1300.0,98000,2012,1900000,Corolla 
Suzuki,Manual,Petrol,1000.0,100000,2008,775000,Cultus 
Suzuki,Manual,Petrol,1000.0,80000,2012,1065000,Cultus 
Toyota,Automatic,Petrol,1000.0,152000,2006,1600000,Vitz 
Suzuki,Manual,CNG,1000.0,86389,2006,819999,Cultus 
Daihatsu,Automatic,Petrol,660.0,67000,2013,1350000,Mira 
Toyota,Automatic,Petrol,1800.0,51000,2019,3950000,Corolla 
Toyota,Automatic,Petrol,1300.0,78000,2006,1600000,Vitz 
Toyota,Automatic,Petrol,1800.0,32000,2019,3925000,Corolla 
Honda,Automatic,Hybrid,1500.0,50000,2016,2650000,Fit 
Honda,Automatic,Hybrid,1500.0,100000,2016,4300000,Vezel 
Toyota,Automatic,Petrol,2400.0,110000,2010,3725000,Rav4 
Honda,Manual,Petrol,1300.0,119000,2014,2090000,City 
Honda,Automatic,Hybrid,1500.0,76000,2016,3350000,Fit 
Suzuki,Manual,Petrol,1000.0,68000,2018,1550000,Wagon R
Toyota,Automatic,Hybrid,1000.0,58348,2018,2820000,Vitz 
Toyota,Automatic,Petrol,1000.0,80000,2012,1795000,Vitz 
Honda,Automatic,Petrol,1800.0,50400,2015,2525000,Civic Rebirth
Toyota,Automatic,Petrol,1300.0,15000,2019,3250000,Corolla 
Toyota,Manual,Petrol,1300.0,200000,1990,675000,Corolla 
Toyota,Automatic,Petrol,1000.0,67000,2014,1955000,Vitz 
Toyota,Automatic,Petrol,4600.0,29000,2016,33300000,Land Cruiser
Honda,Automatic,Petrol,1800.0,81000,2012,2235000,Civic 
Toyota,Automatic,Petrol,1600.0,100000,2017,2810000,Corolla 
Suzuki,Manual,Petrol,1000.0,95000,2012,770000,Alto 
Daihatsu,Automatic,Petrol,660.0,14000,2012,1050000,Hijet 
Suzuki,Manual,Petrol,1000.0,88000,2015,1150000,Cultus 
Honda,Automatic,Petrol,1600.0,150000,2003,1220000,Civic 
Honda,Automatic,Petrol,1800.0,78000,2011,2250000,Civic Reborn
Suzuki,Manual,Petrol,800.0,45000,2017,950000,Mehran 
Toyota,Automatic,Petrol,2700.0,21981,2017,25000000,Prado 
Honda,Automatic,Petrol,1800.0,140000,2013,2400000,Civic Rebirth
Toyota,Automatic,Petrol,1000.0,61000,2015,2295000,Vitz 
Suzuki,Manual,Petrol,1300.0,112000,2010,1145000,Swift 
Daihatsu,Automatic,Petrol,660.0,51000,2018,2165000,Mira 
Honda,Automatic,Petrol,1800.0,97000,2012,2550000,Civic 
Toyota,Automatic,Petrol,1800.0,78000,2016,4750000,Prius 
Suzuki,Manual,Petrol,1000.0,81000,2016,1225000,Cultus 
Toyota,Automatic,Petrol,1500.0,88000,2011,3200000,Allion 
Toyota,Automatic,Petrol,1800.0,160000,2007,2300000,Wish 
Honda,Automatic,Petrol,1800.0,65000,2019,3900000,Civic 
Toyota,Manual,Petrol,1300.0,35000,2020,2650000,Corolla 
KIA,Automatic,Petrol,2000.0,36000,2020,5075000,Sportage 
